County,State,fips,Latitude,Longitude
Wapello,IOWA,19179,41.01,-92.41
Warren,IOWA,19181,41.36,-93.47
Washington,IOWA,19183,41.29,-91.55
Wayne,IOWA,19185,40.7,-93.36
Webster,IOWA,19187,42.5,-94.17
Winnebago,IOWA,19189,43.38,-93.94
Winneshiek,IOWA,19191,43.3,-91.79
Woodbury,IOWA,19193,42.38,-95.86
Worth,IOWA,19195,43.26,-93.42
Wright,IOWA,19197,42.65,-93.5
Ada,IDAHO,16001,43.79,-116.38
Adams,IDAHO,16003,44.89,-116.54
Bannock,IDAHO,16005,42.9,-112.39
Bear Lake,IDAHO,16007,42.36,-111.37
Benewah,IDAHO,16009,47.12,-116.91
Bingham,IDAHO,16011,43.09,-112.84
Blaine,IDAHO,16013,43.39,-114.24
Boise,IDAHO,16015,44.1,-116.13
Bonner,IDAHO,16017,48.04,-116.96
Bonneville,IDAHO,16019,43.5,-111.89
Boundary,IDAHO,16021,48.75,-116.51
Butte,IDAHO,16023,43.65,-113.28
Camas,IDAHO,16025,43.35,-114.98
Canyon,IDAHO,16027,43.66,-116.63
Caribou,IDAHO,16029,42.79,-111.91
Cassia,IDAHO,16031,42.38,-113.6
Clark,IDAHO,16033,44.22,-112.37
Clearwater,IDAHO,16035,46.52,-116.3
Custer,IDAHO,16037,44.65,-114.15
Elmore,IDAHO,16039,43.8,-115.15
Franklin,IDAHO,16041,42.18,-112.03
Fremont,IDAHO,16043,44.05,-111.32
Gem,IDAHO,16045,43.98,-116.52
Gooding,IDAHO,16047,43.01,-114.94
Idaho,IDAHO,16049,45.94,-116.52
Jefferson,IDAHO,16051,43.98,-112.18
Jerome,IDAHO,16053,42.57,-114.25
Kootenai,IDAHO,16055,47.96,-116.68
Latah,IDAHO,16057,46.55,-116.74
Lemhi,IDAHO,16059,45.11,-114.43
Lewis,IDAHO,16061,46.23,-116.48
Lincoln,IDAHO,16063,42.87,-114.24
Madison,IDAHO,16065,43.86,-111.42
Minidoka,IDAHO,16067,42.56,-113.81
Nez Perce,IDAHO,16069,46.16,-116.92
Oneida,IDAHO,16071,42.2,-112.67
Owyhee,IDAHO,16073,42.57,-115.85
Payette,IDAHO,16075,43.96,-116.91
Power,IDAHO,16077,42.72,-112.99
Shoshone,IDAHO,16079,47.17,-115.8
Teton,IDAHO,16081,43.73,-111.22
Twin Falls,IDAHO,16083,42.41,-114.59
Valley,IDAHO,16085,44.59,-115.57
Washington,IDAHO,16087,44.62,-116.7
Cook,ILLINOIS,17031,41.82,-87.76
Kane,ILLINOIS,17089,41.92,-88.42
McHenry,ILLINOIS,17111,42.33,-88.46
Lake,ILLINOIS,17097,40.08,-89.43
Cumberland,ILLINOIS,17035,39.27,-88.24
DuPage,ILLINOIS,17043,41.86,-88.09
Sangamon,ILLINOIS,17167,39.76,-89.64
St. Clair,ILLINOIS,17163,38.46,-89.93
Woodford,ILLINOIS,17203,40.82,-89.21
Clinton,ILLINOIS,17027,38.59,-89.42
Whiteside,ILLINOIS,17195,41.76,-89.92
Winnebago,ILLINOIS,17201,42.33,-89.15
Peoria,ILLINOIS,17143,40.69,-89.59
Will,ILLINOIS,17197,41.42,-88
Jackson,ILLINOIS,17077,37.77,-89.36
Kankakee,ILLINOIS,17091,41.12,-87.85
Kendall,ILLINOIS,17093,41.58,-88.43
LaSalle,ILLINOIS,17099,41.35,-88.9
Madison,ILLINOIS,17119,38.81,-89.9
Washington,ILLINOIS,17189,38.37,-89.42
Williamson,ILLINOIS,17199,37.74,-88.93
Adams,ILLINOIS,17001,39.98,-91.21
Christian,ILLINOIS,17021,39.52,-89.28
McLean,ILLINOIS,17113,40.46,-88.82
DeKalb,ILLINOIS,17037,41.89,-88.77
Champaign,ILLINOIS,17019,40.12,-88.24
Jo Daviess,ILLINOIS,17085,42.35,-90.17
Livingston,ILLINOIS,17105,40.87,-88.56
Rock Island,ILLINOIS,17161,41.44,-90.58
Stephenson,ILLINOIS,17177,42.35,-89.67
Monroe,ILLINOIS,17133,38.27,-90.18
Unknown,ILLINOIS,None,32.2,-110.82
Grundy,ILLINOIS,17063,41.28,-88.41
Douglas,ILLINOIS,17041,39.76,-88.22
Logan,ILLINOIS,17107,40.11,-89.38
Marshall,ILLINOIS,17123,41.03,-89.3
Morgan,ILLINOIS,17137,39.71,-90.19
Franklin,ILLINOIS,17055,37.98,-88.93
Tazewell,ILLINOIS,17179,40.51,-89.54
Bureau,ILLINOIS,17011,41.4,-89.53
Henry,ILLINOIS,17073,41.34,-90.12
Iroquois,ILLINOIS,17075,40.74,-87.83
Carroll,ILLINOIS,17015,42.06,-89.96
Fayette,ILLINOIS,17051,39,-89.04
Macon,ILLINOIS,17115,39.85,-88.96
Bond,ILLINOIS,17005,38.86,-89.44
Knox,ILLINOIS,17095,40.92,-90.22
Menard,ILLINOIS,17129,40.02,-89.79
Montgomery,ILLINOIS,17135,39.2,-89.51
Clark,ILLINOIS,17023,39.33,-87.78
Crawford,ILLINOIS,17033,39.01,-87.73
Marion,ILLINOIS,17121,38.65,-88.92
Randolph,ILLINOIS,17157,38.05,-89.81
Saline,ILLINOIS,17165,37.75,-88.53
Ford,ILLINOIS,17053,40.5,-88.26
Mason,ILLINOIS,17125,40.23,-89.87
Ogle,ILLINOIS,17141,42.04,-89.31
Massac,ILLINOIS,17127,37.22,-88.72
Vermilion,ILLINOIS,17183,40.18,-87.73
Macoupin,ILLINOIS,17117,39.24,-89.92
Mercer,ILLINOIS,17131,41.2,-90.74
Moultrie,ILLINOIS,17139,39.64,-88.61
Piatt,ILLINOIS,17147,39.97,-88.61
De Witt,ILLINOIS,17039,40.18,-88.79
Effingham,ILLINOIS,17049,39.05,-88.6
Jersey,ILLINOIS,17083,39.08,-90.33
Jasper,ILLINOIS,17079,39.01,-88.16
Lee,ILLINOIS,17103,41.75,-89.29
Pike,ILLINOIS,17149,40.08,-89.43
Boone,ILLINOIS,17007,42.32,-88.82
Calhoun,ILLINOIS,17013,39.14,-90.65
Gallatin,ILLINOIS,17059,37.75,-88.23
Jefferson,ILLINOIS,17081,38.3,-88.93
Wabash,ILLINOIS,17185,38.46,-87.85
Coles,ILLINOIS,17029,39.53,-88.22
Lawrence,ILLINOIS,17101,38.71,-87.72
Richland,ILLINOIS,17159,38.71,-88.1
Shelby,ILLINOIS,17173,39.37,-88.79
Hancock,ILLINOIS,17067,40.39,-91.15
Stark,ILLINOIS,17175,41.07,-89.81
Alexander,ILLINOIS,17003,37.18,-89.35
Brown,ILLINOIS,17009,39.95,-90.75
Cass,ILLINOIS,17017,39.97,-90.25
Clay,ILLINOIS,17025,38.73,-88.49
Edgar,ILLINOIS,17045,39.67,-87.73
Edwards,ILLINOIS,17047,38.41,-88.06
Fulton,ILLINOIS,17057,40.47,-90.18
Greene,ILLINOIS,17061,39.36,-90.39
Hamilton,ILLINOIS,17065,38.06,-88.53
Hardin,ILLINOIS,17069,37.51,-88.27
Henderson,ILLINOIS,17071,40.82,-90.91
Johnson,ILLINOIS,17087,37.45,-88.88
McDonough,ILLINOIS,17109,40.44,-90.68
Perry,ILLINOIS,17145,38.08,-89.38
Pope,ILLINOIS,17151,37.39,-88.59
Pulaski,ILLINOIS,17153,37.23,-89.12
Putnam,ILLINOIS,17155,41.2,-89.27
Schuyler,ILLINOIS,17169,40.14,-90.57
Union,ILLINOIS,17181,37.46,-89.25
Warren,ILLINOIS,17187,40.84,-90.62
Wayne,ILLINOIS,17191,38.42,-88.42
White,ILLINOIS,17193,38.06,-88.16
Adams,INDIANA,18001,40.65,-84.95
Allen,INDIANA,18003,41.1,-85.3
Bartholomew,INDIANA,18005,39.21,-85.91
Benton,INDIANA,18007,40.51,-87.38
Blackford,INDIANA,18009,40.37,-85.2
Boone,INDIANA,18011,40.05,-86.47
Brown,INDIANA,18013,39.28,-86.3
Carroll,INDIANA,18015,40.51,-86.52
Cass,INDIANA,18017,40.58,-86.19
Clark,INDIANA,18019,38.53,-85.41
Clay,INDIANA,18021,39.38,-86.99
Clinton,INDIANA,18023,40.19,-86.66
Crawford,INDIANA,18025,38.31,-86.61
Daviess,INDIANA,18027,38.65,-87.17
Dearborn,INDIANA,18029,39.06,-84.9
Decatur,INDIANA,18031,39.43,-85.35
DeKalb,INDIANA,18033,41.53,-85.81
Delaware,INDIANA,18035,40.19,-85.39
Dubois,INDIANA,18037,38.31,-86.69
Elkhart,INDIANA,18039,41.72,-85.81
Fayette,INDIANA,18041,39.62,-85.3
Floyd,INDIANA,18043,38.31,-85.86
Fountain,INDIANA,18045,40.28,-87.24
Franklin,INDIANA,18047,39.49,-84.83
Fulton,INDIANA,18049,40.94,-86.26
Gibson,INDIANA,18051,38.2,-87.57
Grant,INDIANA,18053,40.57,-85.87
Greene,INDIANA,18055,39.02,-86.93
Hamilton,INDIANA,18057,40.17,-86.02
Hancock,INDIANA,18059,39.93,-85.84
Harrison,INDIANA,18061,38.36,-86.06
Hendricks,INDIANA,18063,39.68,-86.61
Henry,INDIANA,18065,39.79,-85.52
Howard,INDIANA,18067,40.47,-86.13
Huntington,INDIANA,18069,40.85,-85.6
Jackson,INDIANA,18071,38.88,-86.04
Jasper,INDIANA,18073,41.16,-87.26
Jay,INDIANA,18075,40.53,-84.96
Jefferson,INDIANA,18077,38.86,-85.3
Jennings,INDIANA,18079,39.12,-85.49
Johnson,INDIANA,18081,39.51,-86.16
Knox,INDIANA,18083,38.77,-87.3
Kosciusko,INDIANA,18085,41.26,-85.97
LaGrange,INDIANA,18087,39.82,-85.98
Lake,INDIANA,18089,41.38,-87.45
LaPorte,INDIANA,18091,41.61,-86.72
Lawrence,INDIANA,18093,38.91,-86.59
Madison,INDIANA,18095,40.25,-85.67
Marion,INDIANA,18097,39.71,-86.08
Marshall,INDIANA,18099,41.23,-86.24
Martin,INDIANA,18101,38.91,-86.91
Miami,INDIANA,18103,40.6,-85.92
Monroe,INDIANA,18105,39.16,-86.52
Montgomery,INDIANA,18107,39.98,-87.05
Morgan,INDIANA,18109,39.54,-86.37
Newton,INDIANA,18111,41.12,-87.45
Noble,INDIANA,18113,41.39,-85.41
Ohio,INDIANA,18115,38.95,-84.85
Orange,INDIANA,18117,38.46,-86.27
Owen,INDIANA,18119,39.24,-86.98
Parke,INDIANA,18121,39.75,-87.06
Perry,INDIANA,18123,38.16,-86.58
Pike,INDIANA,18125,38.48,-87.1
Porter,INDIANA,18127,41.68,-86.97
Posey,INDIANA,18129,38.18,-87.7
Pulaski,INDIANA,18131,41.15,-86.48
Putnam,INDIANA,18133,39.76,-86.81
Randolph,INDIANA,18135,40.18,-85.12
Ripley,INDIANA,18137,39.29,-85.21
Rush,INDIANA,18139,39.65,-85.57
Scott,INDIANA,18143,38.74,-85.81
Shelby,INDIANA,18145,39.56,-85.91
Spencer,INDIANA,18147,38.16,-86.98
St. Joseph,INDIANA,18141,41.66,-86.16
Starke,INDIANA,18149,41.21,-86.77
Steuben,INDIANA,18151,41.64,-85
Sullivan,INDIANA,18153,38.96,-87.4
Switzerland,INDIANA,18155,38.87,-85.07
Tippecanoe,INDIANA,18157,40.41,-86.87
Tipton,INDIANA,18159,40.26,-86.18
Union,INDIANA,18161,39.56,-84.81
Vanderburgh,INDIANA,18163,38.09,-87.57
Vermillion,INDIANA,18165,39.65,-87.46
Vigo,INDIANA,18167,39.47,-87.38
Wabash,INDIANA,18169,40.67,-85.72
Warren,INDIANA,18171,40.48,-87.51
Warrick,INDIANA,18173,38.04,-87.27
Washington,INDIANA,18175,38.65,-86.26
Wayne,INDIANA,18177,39.74,-84.85
Wells,INDIANA,18179,40.74,-85.17
White,INDIANA,18181,40.6,-86.86
Whitley,INDIANA,18183,41.23,-85.32
Allen,KANSAS,20001,37.79,-95.14
Anderson,KANSAS,20003,38.07,-95.36
Atchison,KANSAS,20005,39.56,-95.13
Barber,KANSAS,20007,37.01,-98.64
Barton,KANSAS,20009,38.45,-99.01
Bourbon,KANSAS,20011,37.83,-94.7
Brown,KANSAS,20013,39.67,-95.42
Butler,KANSAS,20015,38.03,-96.63
Chase,KANSAS,20017,38.25,-96.82
Chautauqua,KANSAS,20019,37.1,-96.5
Cherokee,KANSAS,20021,37.02,-94.73
Cheyenne,KANSAS,20023,39.74,-101.53
Clark,KANSAS,20025,37.18,-99.76
Clay,KANSAS,20027,39.37,-97.12
Cloud,KANSAS,20029,39.57,-97.66
Coffey,KANSAS,20031,38.19,-95.74
Comanche,KANSAS,20033,37.25,-99.33
Cowley,KANSAS,20035,37.06,-97.04
Crawford,KANSAS,20037,37.64,-94.62
Decatur,KANSAS,20039,39.62,-100.42
Dickinson,KANSAS,20041,38.92,-97.22
Doniphan,KANSAS,20043,39.7,-95.17
Douglas,KANSAS,20045,38.77,-95.18
Edwards,KANSAS,20047,37.95,-99.09
Elk,KANSAS,20049,37.56,-95.93
Ellis,KANSAS,20051,38.87,-99.31
Ellsworth,KANSAS,20053,38.73,-98.22
Finney,KANSAS,20055,37.97,-100.86
Ford,KANSAS,20057,37.75,-100.01
Franklin,KANSAS,20059,38.44,-95.08
Geary,KANSAS,20061,39.02,-96.84
Gove,KANSAS,20063,38.95,-100.49
Graham,KANSAS,20065,39.35,-99.68
Grant,KANSAS,20067,37.57,-101.35
Gray,KANSAS,20069,37.8,-100.34
Greeley,KANSAS,20071,38.47,-101.75
Greenwood,KANSAS,20073,37.98,-96.16
Hamilton,KANSAS,20075,38.04,-102
Harper,KANSAS,20077,37.15,-98.02
Harvey,KANSAS,20079,38.02,-97.67
Haskell,KANSAS,20081,37.43,-100.98
Hodgeman,KANSAS,20083,38.12,-99.71
Jackson,KANSAS,20085,39.5,-95.85
Jefferson,KANSAS,20087,39.2,-95.22
Jewell,KANSAS,20089,39.87,-98.3
Johnson,KANSAS,20091,38.71,-94.71
Kearny,KANSAS,20093,37.98,-101.13
Kingman,KANSAS,20095,37.64,-98.43
Kiowa,KANSAS,20097,37.6,-99.29
Labette,KANSAS,20099,37.19,-95.29
Lane,KANSAS,20101,38.48,-100.46
Leavenworth,KANSAS,20103,39.12,-94.92
Lincoln,KANSAS,20105,39.18,-98.04
Linn,KANSAS,20107,38.08,-95
Logan,KANSAS,20109,39.1,-101
Lyon,KANSAS,20111,38.41,-96.19
Marion,KANSAS,20115,38.08,-96.88
Marshall,KANSAS,20117,39.87,-96.25
McPherson,KANSAS,20113,38.2,-97.51
Meade,KANSAS,20119,37.38,-100.19
Miami,KANSAS,20121,38.42,-94.83
Mitchell,KANSAS,20123,39.46,-98.1
Montgomery,KANSAS,20125,37.23,-95.71
Morris,KANSAS,20127,38.57,-96.83
Morton,KANSAS,20129,37,-101.89
Nemaha,KANSAS,20131,39.84,-96.18
Neosho,KANSAS,20133,37.67,-95.48
Ness,KANSAS,20135,38.63,-100.04
Norton,KANSAS,20137,39.89,-99.7
Osage,KANSAS,20139,38.75,-95.83
Osborne,KANSAS,20141,39.5,-98.54
Ottawa,KANSAS,20143,39.03,-97.59
Pawnee,KANSAS,20145,38.19,-99.52
Phillips,KANSAS,20147,39.76,-99.11
Pottawatomie,KANSAS,20149,39.21,-96.17
Pratt,KANSAS,20151,37.78,-98.86
Rawlins,KANSAS,20153,39.81,-101.04
Reno,KANSAS,20155,38.06,-97.91
Republic,KANSAS,20157,39.7,-97.43
Rice,KANSAS,20159,38.51,-98.39
Riley,KANSAS,20161,39.36,-96.85
Rooks,KANSAS,20163,39.31,-99.58
Rush,KANSAS,20165,38.46,-99.55
Russell,KANSAS,20167,38.87,-98.7
Saline,KANSAS,20169,38.81,-97.61
Scott,KANSAS,20171,38.49,-101.21
Sedgwick,KANSAS,20173,37.79,-97.62
Seward,KANSAS,20175,37.2,-100.7
Shawnee,KANSAS,20177,38.9,-95.81
Sheridan,KANSAS,20179,39.35,-100.43
Sherman,KANSAS,20181,39.33,-101.54
Smith,KANSAS,20183,39.76,-98.91
Stafford,KANSAS,20185,38.1,-98.66
Stanton,KANSAS,20187,37.57,-101.75
Stevens,KANSAS,20189,37.17,-101.34
Sumner,KANSAS,20191,37.26,-97.76
Thomas,KANSAS,20193,39.38,-101.04
Trego,KANSAS,20195,39.03,-100.11
Wabaunsee,KANSAS,20197,39.01,-96.28
Wallace,KANSAS,20199,38.89,-101.75
Washington,KANSAS,20201,39.71,-96.87
Wichita,KANSAS,20203,38.48,-101.35
Wilson,KANSAS,20205,37.52,-95.66
Woodson,KANSAS,20207,38,-95.55
Wyandotte,KANSAS,20209,39.05,-94.88
Fayette,KENTUCKY,21067,38.03,-84.47
Harrison,KENTUCKY,21097,38.44,-84.32
Jefferson,KENTUCKY,21111,38.18,-85.66
Montgomery,KENTUCKY,21173,38.04,-83.92
Bourbon,KENTUCKY,21017,38.19,-84.2
Nelson,KENTUCKY,21179,37.81,-85.47
Clark,KENTUCKY,21049,37.97,-84.16
Lyon,KENTUCKY,21143,37,-88.07
Franklin,KENTUCKY,21073,38.25,-84.86
Kenton,KENTUCKY,21117,38.92,-84.53
Warren,KENTUCKY,21227,36.98,-86.42
Christian,KENTUCKY,21047,36.88,-87.5
Daviess,KENTUCKY,21059,37.69,-87.08
Henderson,KENTUCKY,21101,37.77,-87.56
Pulaski,KENTUCKY,21199,37.11,-84.59
Scott,KENTUCKY,21209,38.28,-84.58
Unknown,KENTUCKY,None,38.03,-84.51
Calloway,KENTUCKY,21035,36.63,-88.27
Anderson,KENTUCKY,21005,38.01,-84.99
Madison,KENTUCKY,21151,37.73,-84.3
Spencer,KENTUCKY,21215,38.02,-85.32
Allen,KENTUCKY,21003,36.75,-86.19
Breathitt,KENTUCKY,21025,37.52,-83.29
Hardin,KENTUCKY,21093,37.66,-85.96
Jessamine,KENTUCKY,21113,37.86,-84.58
Oldham,KENTUCKY,21185,38.5,-85.42
Logan,KENTUCKY,21141,36.82,-86.88
Martin,KENTUCKY,21159,37.57,-85.16
McCracken,KENTUCKY,21145,37.03,-88.71
Menifee,KENTUCKY,21165,37.94,-83.6
Muhlenberg,KENTUCKY,21177,37.2,-87.14
Simpson,KENTUCKY,21213,36.74,-86.58
Grayson,KENTUCKY,21085,37.45,-86.34
Laurel,KENTUCKY,21125,37.1,-84.12
McCreary,KENTUCKY,21147,36.74,-84.5
Wayne,KENTUCKY,21231,36.78,-84.82
Boone,KENTUCKY,21015,38.96,-84.72
Hopkins,KENTUCKY,21107,37.3,-87.56
Mason,KENTUCKY,21161,38.58,-83.81
Mercer,KENTUCKY,21167,37.81,-84.88
Union,KENTUCKY,21225,37.64,-87.96
Webster,KENTUCKY,21233,37.51,-87.66
Bullitt,KENTUCKY,21029,37.98,-85.67
Campbell,KENTUCKY,21037,38.93,-84.37
Larue,KENTUCKY,21123,37.57,-85.16
Woodford,KENTUCKY,21239,38.07,-84.74
Boyle,KENTUCKY,21021,37.62,-84.85
Bracken,KENTUCKY,21023,38.69,-84.08
Breckinridge,KENTUCKY,21027,37.74,-86.41
Butler,KENTUCKY,21031,37.24,-86.67
Carroll,KENTUCKY,21041,38.66,-85.1
Floyd,KENTUCKY,21071,37.55,-82.76
Grant,KENTUCKY,21081,38.65,-84.62
Nicholas,KENTUCKY,21181,38.33,-84.02
Shelby,KENTUCKY,21211,38.22,-85.21
Washington,KENTUCKY,21229,37.73,-85.18
Boyd,KENTUCKY,21019,38.36,-82.7
Lewis,KENTUCKY,21135,38.52,-83.34
Taylor,KENTUCKY,21217,37.34,-85.31
Marion,KENTUCKY,21155,37.54,-85.26
Marshall,KENTUCKY,21157,36.86,-88.33
Barren,KENTUCKY,21009,36.96,-85.93
Edmonson,KENTUCKY,21061,37.2,-86.22
Graves,KENTUCKY,21083,36.72,-88.66
Hancock,KENTUCKY,21091,37.82,-86.75
Henry,KENTUCKY,21103,38.45,-85.12
Lawrence,KENTUCKY,21127,38.06,-82.73
Powell,KENTUCKY,21197,37.82,-83.82
Rockcastle,KENTUCKY,21203,37.39,-84.32
Russell,KENTUCKY,21207,38.52,-82.7
Bath,KENTUCKY,21011,38.12,-83.72
Crittenden,KENTUCKY,21055,37.36,-88.09
Cumberland,KENTUCKY,21057,36.79,-85.38
Lincoln,KENTUCKY,21137,37.47,-84.66
Meade,KENTUCKY,21163,37.93,-86.19
Pendleton,KENTUCKY,21191,38.69,-84.37
Caldwell,KENTUCKY,21033,37.12,-87.84
Clinton,KENTUCKY,21053,36.72,-85.14
Ohio,KENTUCKY,21183,37.48,-86.86
Perry,KENTUCKY,21193,37.22,-83.16
Adair,KENTUCKY,21001,37.1,-85.29
Carter,KENTUCKY,21043,38.32,-83
Greenup,KENTUCKY,21089,38.51,-82.92
Johnson,KENTUCKY,21115,37.84,-82.82
Leslie,KENTUCKY,21131,37.08,-83.38
Letcher,KENTUCKY,21133,37.12,-82.84
McLean,KENTUCKY,21149,37.52,-87.26
Monroe,KENTUCKY,21171,36.7,-85.73
Pike,KENTUCKY,21195,37.57,-85.16
Green,KENTUCKY,21087,37.57,-85.16
Hart,KENTUCKY,21099,37.29,-85.88
Todd,KENTUCKY,21219,36.81,-87.17
Ballard,KENTUCKY,21007,37.02,-88.99
Jackson,KENTUCKY,21109,37.42,-83.99
Whitley,KENTUCKY,21235,36.73,-84.15
Knox,KENTUCKY,21121,36.89,-83.86
Trimble,KENTUCKY,21223,38.6,-85.32
Fleming,KENTUCKY,21069,38.37,-83.68
Gallatin,KENTUCKY,21077,38.75,-84.84
Knott,KENTUCKY,21119,37.35,-82.93
Rowan,KENTUCKY,21205,38.18,-83.4
Morgan,KENTUCKY,21175,37.92,-83.21
Owsley,KENTUCKY,21189,37.41,-83.68
Trigg,KENTUCKY,21221,36.8,-87.88
Casey,KENTUCKY,21045,37.29,-84.92
Garrard,KENTUCKY,21079,37.64,-84.54
Livingston,KENTUCKY,21139,37.19,-88.33
Acadia,LOUISIANA,22001,30.27,-92.4
Allen,LOUISIANA,22003,30.66,-92.86
Ascension,LOUISIANA,22005,30.21,-90.92
Assumption,LOUISIANA,22007,29.92,-91.05
Avoyelles,LOUISIANA,22009,31.05,-92
Beauregard,LOUISIANA,22011,30.61,-93.34
Bienville,LOUISIANA,22013,32.32,-93.08
Bossier,LOUISIANA,22015,32.67,-93.6
Caddo,LOUISIANA,22017,32.53,-93.89
Calcasieu,LOUISIANA,22019,30.22,-93.34
Caldwell,LOUISIANA,22021,32.08,-92.11
Cameron,LOUISIANA,22023,29.89,-93.18
Catahoula,LOUISIANA,22025,31.73,-91.85
Claiborne,LOUISIANA,22027,32.82,-93.01
Concordia,LOUISIANA,22029,31.39,-91.67
DeSoto,LOUISIANA,22031,30.83,-91.96
East Baton Rouge,LOUISIANA,22033,30.52,-91.09
East Carroll,LOUISIANA,22035,32.7,-91.26
East Feliciana,LOUISIANA,22037,30.85,-91.04
Evangeline,LOUISIANA,22039,30.7,-92.42
Franklin,LOUISIANA,22041,32.12,-91.68
Grant,LOUISIANA,22043,31.58,-92.57
Iberia,LOUISIANA,22045,29.98,-91.74
Iberville,LOUISIANA,22047,30.21,-91.31
Jackson,LOUISIANA,22049,32.29,-92.56
Jefferson Davis,LOUISIANA,22053,30.26,-92.79
Jefferson,LOUISIANA,22051,29.85,-90.13
Lafayette,LOUISIANA,22055,30.22,-92.02
Lafourche,LOUISIANA,22057,29.58,-90.4
LaSalle,LOUISIANA,22059,29.98,-91.95
Lincoln,LOUISIANA,22061,32.6,-92.68
Livingston,LOUISIANA,22063,30.42,-90.72
Madison,LOUISIANA,22065,32.36,-91.26
Morehouse,LOUISIANA,22067,32.83,-91.84
Natchitoches,LOUISIANA,22069,31.76,-93.09
Orleans,LOUISIANA,22071,29.95,-90.07
Ouachita,LOUISIANA,22073,32.48,-92.16
Plaquemines,LOUISIANA,22075,29.43,-89.51
Pointe Coupee,LOUISIANA,22077,30.62,-91.57
Rapides,LOUISIANA,22079,31.17,-92.55
Red River,LOUISIANA,22081,32.08,-93.31
Richland,LOUISIANA,22083,32.42,-91.81
Sabine,LOUISIANA,22085,31.52,-93.53
St. Bernard,LOUISIANA,22087,29.82,-89.6
St. Charles,LOUISIANA,22089,29.89,-90.38
St. Helena,LOUISIANA,22091,30.81,-90.69
St. James,LOUISIANA,22093,30.01,-90.8
St. John the Baptist,LOUISIANA,22095,30.11,-90.53
St. Landry,LOUISIANA,22097,30.62,-92
St. Martin,LOUISIANA,22099,30.18,-91.61
St. Mary,LOUISIANA,22101,29.69,-91.44
St. Tammany,LOUISIANA,22103,30.42,-89.97
Tangipahoa,LOUISIANA,22105,30.63,-90.43
Tensas,LOUISIANA,22107,31.98,-91.37
Terrebonne,LOUISIANA,22109,29.46,-90.87
Union,LOUISIANA,22111,32.84,-92.39
Vermilion,LOUISIANA,22113,29.84,-92.35
Vernon,LOUISIANA,22115,31.08,-93.2
Washington,LOUISIANA,22117,30.83,-90.07
Webster,LOUISIANA,22119,32.64,-93.33
West Baton Rouge,LOUISIANA,22121,30.45,-91.33
West Carroll,LOUISIANA,22123,32.79,-91.46
West Feliciana,LOUISIANA,22125,30.88,-91.4
Winn,LOUISIANA,22127,31.95,-92.64
Barnstable,MASSACHUSETTS,25001,41.67,-70.35
Berkshire,MASSACHUSETTS,25003,42.39,-73.23
Bristol,MASSACHUSETTS,25005,41.75,-71.08
Dukes,MASSACHUSETTS,25007,41.39,-70.64
Nantucket,MASSACHUSETTS,25019,41.26,-70.06
Essex,MASSACHUSETTS,25009,42.67,-70.95
Franklin,MASSACHUSETTS,25011,42.58,-72.61
Hampden,MASSACHUSETTS,25013,42.13,-72.61
Hampshire,MASSACHUSETTS,25015,42.34,-72.62
Middlesex,MASSACHUSETTS,25017,42.48,-71.4
Norfolk,MASSACHUSETTS,25021,42.15,-71.18
Plymouth,MASSACHUSETTS,25023,41.94,-70.76
Suffolk,MASSACHUSETTS,25025,42.35,-70.97
Worcester,MASSACHUSETTS,25027,42.37,-71.86
Allegany,MARYLAND,24001,39.66,-78.66
Anne Arundel,MARYLAND,24003,38.97,-76.57
Baltimore (City),MARYLAND,None,39.27,-76.64
Baltimore County,MARYLAND,24005,39.44,-76.65
Calvert,MARYLAND,24009,38.53,-76.54
Caroline,MARYLAND,24011,38.86,-75.82
Carroll,MARYLAND,24013,39.57,-77.03
Cecil,MARYLAND,24015,39.57,-75.94
Charles,MARYLAND,24017,38.5,-77.03
Dorchester,MARYLAND,24019,38.39,-76.1
Frederick,MARYLAND,24021,39.46,-77.41
Garrett,MARYLAND,24023,39.54,-79.25
Harford,MARYLAND,24025,39.55,-76.3
Howard,MARYLAND,24027,39.23,-76.92
Kent,MARYLAND,24029,39.26,-76.1
Montgomery,MARYLAND,24031,39.14,-77.21
Prince George's,MARYLAND,24033,38.8,-76.85
Queen Anne's,MARYLAND,24035,39.03,-76.06
St. Mary's,MARYLAND,24037,38.21,-76.54
Somerset,MARYLAND,24039,38.06,-75.88
Talbot,MARYLAND,24041,38.75,-76.19
Washington,MARYLAND,24043,39.59,-77.71
Wicomico,MARYLAND,24045,38.39,-75.64
Worcester,MARYLAND,24047,38.22,-75.33
Unknown,MARYLAND,24,39.52,-76.94
District of Columbia,WASHINGTON DC,11001,38.9,-77.04
Androscoggin,MAINE,23001,44.14,-70.2
Aroostook,MAINE,23003,46.68,-68.47
Cumberland,MAINE,23005,43.85,-70.4
Franklin,MAINE,23007,44.92,-70.44
Hancock,MAINE,23009,44.71,-68.3
Kennebec,MAINE,23011,44.42,-69.82
Knox,MAINE,23013,44.18,-69.21
Lincoln,MAINE,23015,44.11,-69.54
Oxford,MAINE,23017,44.47,-70.78
Penobscot,MAINE,23019,45.29,-68.6
Piscataquis,MAINE,23021,45.84,-69.29
Sagadahoc,MAINE,23023,43.99,-69.86
Somerset,MAINE,23025,45.45,-70.1
Waldo,MAINE,23027,44.49,-69.14
Washington,MAINE,23029,44.97,-67.63
York,MAINE,23031,43.42,-70.66
